,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,QBTS,D-Wave Quantum Inc.,,10.15 +3.24 (+46.89%),3.24,+46.89%,259.529M,87.503M,2.706B,-,331.91%,
1,RGTI,"Rigetti Computing, Inc.",,11.22 +2.47 (+28.23%),2.47,+28.23%,124.453M,137.918M,3.207B,-,452.71%,
2,RBRK,"Rubrik, Inc.",,70.64 +15.36 (+27.79%),15.36,+27.79%,6.952M,2.43M,13.086B,-,90.92%,
3,SMTC,Semtech Corporation,,39.60 +6.89 (+21.06%),6.89,+21.06%,8.022M,2.647M,3.413B,-,75.77%,
4,IONQ,"IonQ, Inc.",,25.00 +3.63 (+16.99%),3.63,+16.99%,37.559M,26.056M,5.972B,-,162.05%,
5,PTON,"Peloton Interactive, Inc.",,7.05 +0.98 (+16.14%),0.98,+16.14%,31.001M,14.578M,2.749B,-,61.70%,
6,SOUN,"SoundHound AI, Inc.",,10.34 +1.43 (+16.05%),1.43,+16.05%,41.739M,62.255M,4.125B,-,25.49%,
7,OKLO,Oklo Inc.,,27.72 +3.77 (+15.74%),3.77,+15.74%,13.128M,18.507M,3.792B,-,154.55%,
8,DOCU,"DocuSign, Inc.",,85.76 +11.06 (+14.81%),11.06,+14.81%,11.925M,2.638M,17.325B,16.88,47.56%,
9,WXXWY,WuXi Biologics (Cayman) Inc.,,6.87 +0.87 (+14.50%),0.87,+14.50%,22153,46541,14.072B,40.41,90.83%,
10,ULTA,"Ulta Beauty, Inc.",,357.48 +43.01 (+13.68%),43.01,+13.68%,3.368M,963988,16.577B,14.10,-32.85%,
11,WRD,WeRide Inc.,,18.40 +2.13 (+13.09%),2.13,+13.09%,7.826M,1.617M,5.051B,-,11.18%,
12,ROOT,"Root, Inc.",,151.73 +17.50 (+13.04%),17.5,+13.04%,1.141M,527590,2.306B,82.46,156.60%,
13,MSTR,MicroStrategy Incorporated,,297.49 +34.23 (+13.00%),34.23,+13.00%,23.599M,19.65M,77.472B,-,97.96%,
14,VNET,"VNET Group, Inc.",,11.65 +1.25 (+12.02%),1.25,+12.02%,10.656M,8.741M,3.112B,582.50,526.34%,
15,TEM,"Tempus AI, Inc.",,47.17 +5.00 (+11.87%),5.0,+11.87%,10.87M,12.314M,8.123B,-,17.19%,
16,CAR,"Avis Budget Group, Inc.",,61.95 +6.46 (+11.64%),6.46,+11.64%,2.108M,798381,2.175B,-,-42.70%,
17,AUR,"Aurora Innovation, Inc.",,6.97 +0.71 (+11.34%),0.71,+11.34%,24.1M,14.871M,12.131B,-,185.66%,
