,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,SAIC,Science Applications International Corporation,,114.98 +10.55 (+10.10%),10.55,+10.10%,760175,704013,5.62B,19.36,-18.67%,
1,QFIN,"Qifu Technology, Inc.",,47.00 +3.81 (+8.82%),3.81,+8.82%,1.088M,1.207M,7.297B,9.69,133.84%,
2,INTC,Intel Corporation,,25.88 +1.83 (+7.61%),1.83,+7.61%,55.075M,96.25M,112.06B,-,-43.69%,
3,ASND,Ascendis Pharma A/S,,164.85 +11.88 (+7.76%),11.88,+7.76%,299233,462200,9.906B,-,4.03%,
4,ORLA,Orla Mining Ltd.,,9.21 +0.50 (+5.74%),0.5,+5.74%,969808,801877,2.962B,-,139.94%,
5,CALM,"Cal-Maine Foods, Inc.",,89.04 +6.01 (+7.23%),6.01,+7.23%,194787,934281,4.367B,6.92,37.38%,
6,LION,Lionsgate Studios Corp.,,8.09 +0.50 (+6.59%),0.5,+6.59%,56845,335344,2.335B,-,-29.00%,
7,AEO,"American Eagle Outfitters, Inc.",,11.79 +0.73 (+6.60%),0.73,+6.60%,3.85M,4.848M,2.265B,7.02,-53.00%,
8,PETRY,Vibra Energia S.A.,,6.14 +0.37 (+6.41%),0.37,+6.41%,34004,63894,3.423B,3.13,-33.84%,
9,UEC,Uranium Energy Corp.,,5.34 +0.26 (+5.22%),0.26,+5.22%,1.799M,7.801M,2.292B,-,-20.38%,
10,MTSUY,Mitsubishi Corporation,,18.70 +1.12 (+6.37%),1.12,+6.37%,18167,81413,74.358B,10.56,-12.62%,
11,CELH,"Celsius Holdings, Inc.",,28.78 +1.70 (+6.30%),1.7,+6.30%,1.999M,9.88M,6.768B,63.97,-69.76%,
12,HII,"Huntington Ingalls Industries, Inc.",,206.26 +10.10 (+5.15%),10.1,+5.15%,241625,773436,8.071B,14.76,-32.50%,
13,M,"Macy's, Inc.",,13.76 +0.68 (+5.20%),0.68,+5.20%,2.257M,7.107M,3.821B,6.65,-38.42%,
14,PAYC,"Paycom Software, Inc.",,218.62 +10.62 (+5.11%),10.62,+5.11%,158241,617398,12.239B,24.51,8.55%,
15,BVN,Compañía de Minas Buenaventura S.A.A.,,15.53 +0.69 (+4.65%),0.69,+4.65%,587753,943327,3.94B,10.71,-14.86%,
16,KTOS,"Kratos Defense & Security Solutions, Inc.",,31.81 +1.38 (+4.53%),1.38,+4.53%,808685,2.312M,4.862B,289.18,79.00%,
17,BIDU,"Baidu, Inc.",,98.34 +4.52 (+4.82%),4.52,+4.82%,4.178M,4.76M,34.674B,10.79,-10.45%,
18,MNSO,MINISO Group Holding Limited,,21.73 +1.04 (+5.03%),1.04,+5.03%,468683,1.026M,6.815B,21.73,1.42%,
19,NFE,New Fortress Energy Inc.,,9.72 +0.46 (+4.97%),0.46,+4.97%,868305,5.125M,2.661B,-,-69.25%,
20,VRNA,Verona Pharma plc,,64.58 +3.19 (+5.20%),3.19,+5.20%,250475,1.432M,8.594B,-,295.30%,
21,IAC,IAC Inc.,,46.65 +2.09 (+4.69%),2.09,+4.69%,229821,968770,3.885B,-,-13.71%,
22,BXP,"BXP, Inc.",,68.44 +2.93 (+4.47%),2.93,+4.47%,235818,1.309M,12.078B,760.44,4.27%,
23,ENOV,Enovis Corporation,,38.78 +1.73 (+4.67%),1.73,+4.67%,173731,963201,2.209B,-,-36.93%,
24,XIACY,Xiaomi Corporation,,36.48 +1.60 (+4.59%),1.6,+4.59%,55389,680212,181.971B,36.48,213.39%,
25,CVI,"CVR Energy, Inc.",,20.10 +0.88 (+4.55%),0.88,+4.55%,191149,1.24M,2.021B,335.08,-45.95%,
26,FINV,FinVolution Group,,9.10 +0.39 (+4.48%),0.39,+4.48%,465420,779439,2.365B,7.91,74.55%,
27,QBTS,D-Wave Quantum Inc.,,10.53 +0.38 (+3.76%),0.38,+3.76%,95.741M,84.691M,2.807B,-,331.91%,
28,AMD,"Advanced Micro Devices, Inc.",,105.16 +4.19 (+4.15%),4.19,+4.15%,16.792M,38.999M,170.417B,105.16,-47.04%,
29,LDOS,"Leidos Holdings, Inc.",,140.35 +5.80 (+4.31%),5.8,+4.31%,358551,1.534M,18.409B,15.22,6.49%,
30,ENPH,"Enphase Energy, Inc.",,60.63 +2.50 (+4.30%),2.5,+4.30%,651439,4.132M,8.032B,80.84,-47.72%,
31,PBF,PBF Energy Inc.,,21.64 +0.90 (+4.35%),0.9,+4.35%,405033,2.593M,2.495B,-,-62.84%,
